Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-gov.cdc.nhsn.dqm.json	102157	-	0	0	0	0	0	0	42	528	0	0	0	0	0	0	0	3	0	0	752	1696	0	0	0	20	0	12
fsh-generated/resources/Bundle-bundle-example-ach-daily-full.json	142086	155	648	0	1	0	0	0	13	4834	0	0	0	0	0	0	0	2	0	0	1460	2980	0	0	1	0	0	2
fsh-generated/resources/Bundle-bundle-example-ach-daily-header.json	6763	9	4	0	1	0	0	0	1	58	0	0	0	0	0	0	0	0	0	0	131	49	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-example-ach-daily-subject-influenzatherapeutic.json	24436	24	7	0	0	0	0	0	3	32	0	0	0	0	0	0	0	0	0	0	345	323	0	0	0	0	0	1
fsh-generated/resources/Bundle-bundle-example-ach-daily-subject-initialpopulationpass.json	36112	16	7	0	1	0	0	0	3	35	0	0	0	0	0	0	0	0	0	0	346	587	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-example-ach-daily-subject-negativepcr.json	42289	18	9	0	0	0	0	0	4	46	0	0	0	0	0	0	0	1	0	0	308	335	0	0	0	0	0	1
fsh-generated/resources/Bundle-bundle-example-ach-daily-subject-rsvlabbtg.json	34209	12	9	0	1	0	0	0	4	66	0	0	0	0	0	0	0	0	0	0	301	633	0	0	0	0	0	1
fsh-generated/resources/Bundle-bundle-example-ach-monthly-header.json	6781	6	3	0	0	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0	270	30	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-example-ach-monthly-subject-ach-pass1.json	48561	16	44	0	1	0	0	0	5	1651	0	0	0	0	0	0	0	1	0	0	453	438	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-example-ach-monthly-subject-ach-pass2.json	94976	37	30	0	0	0	0	0	8	1386	0	0	0	0	0	0	0	1	0	0	870	2163	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-example-ach-monthly-subject-ach-pass3.json	59379	16	20	0	0	0	0	0	5	343	0	0	0	0	0	0	0	0	0	0	701	1403	0	0	0	0	0	0
fsh-generated/resources/Bundle-submission-full-example1.json	208409	52	52	0	2	0	0	0	17	221	0	0	0	0	0	0	0	1	0	0	2029	3838	0	0	0	0	0	0
fsh-generated/resources/Condition-condition-example-diagnosis-ach-daily-influenzatherapeutic.json	1513	7	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	105	68	0	0	0	0	0	0
fsh-generated/resources/Condition-condition-example-diagnosis-ach-daily-initialpopulationpass.json	1482	6	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	99	92	0	0	0	0	0	0
fsh-generated/resources/Condition-condition-example-diagnosis-ach-daily-negativepcr.json	1435	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	82	73	0	0	0	0	0	0
fsh-generated/resources/Condition-condition-example-diagnosis-ach-daily-rsvlabbtg.json	1489	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	110	92	0	0	0	0	0	0
fsh-generated/resources/Condition-condition-example-diagnosis-ach-monthly-pass1.json	1395	7	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	103	81	0	0	0	0	0	0
fsh-generated/resources/Condition-condition-example-diagnosis-ach-monthly-pass2-problem.json	1476	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	92	81	0	0	0	0	0	0
fsh-generated/resources/Condition-condition-example-diagnosis-ach-monthly-pass2.json	1299	6	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	89	61	0	0	0	0	0	0
fsh-generated/resources/Condition-condition-example-diagnosis-ach-monthly-pass3-problem.json	1531	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	76	63	0	0	1	0	0	0
fsh-generated/resources/Condition-condition-example-diagnosis-ach-monthly-pass3.json	1328	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	60	47	0	0	0	0	0	0
fsh-generated/resources/Coverage-coverage-example-ach-daily-influenzatherapeutic.json	1478	4	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	77	63	0	0	0	0	0	0
fsh-generated/resources/Coverage-coverage-example-ach-daily-initialpopulationpass.json	1464	4	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	73	56	0	0	0	0	0	0
fsh-generated/resources/Coverage-coverage-example-ach-daily-negativepcr.json	1444	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	71	0	0	0	0	0	0
fsh-generated/resources/Coverage-coverage-example-ach-daily-rsvlabbtg.json	437	3	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	69	85	0	0	1	0	0	0
fsh-generated/resources/Coverage-coverage-example-ach-monthly-pass1.json	1427	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	35	67	0	0	0	0	0	0
fsh-generated/resources/Coverage-coverage-example-ach-monthly-pass2.json	1243	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	35	68	0	0	0	0	0	0
fsh-generated/resources/Coverage-coverage-example-ach-monthly-pass3.json	1261	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	65	82	0	0	0	0	0	0
fsh-generated/resources/Device-device-example-ach-monthly-pass1-central-line.json	714	5	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	60	86	0	0	0	0	0	0
fsh-generated/resources/Device-device-example-ach-monthly-pass2-compress-hose.json	727	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	82	40	0	0	0	0	0	0
fsh-generated/resources/Device-device-example-ach-monthly-pass3-ivcs-pump.json	735	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	48	0	0	0	0	0	0
fsh-generated/resources/Device-device-example-submitting-device.json	687	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	83	44	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-diagnosticreport-example-ach-daily-initialpopulationpass.json	1361	6	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	50	42	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-diagnosticreport-example-ach-monthly-pass2-cardiopulmonary.json	1318	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	88	41	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-diagnosticreport-example-ach-monthly-pass2-lab-cbc.json	1242	6	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	81	67	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-diagnosticreport-example-ach-monthly-pass2-radiology.json	1318	6	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	92	62	0	0	0	0	0	0
fsh-generated/resources/Encounter-encounter-example-ach-daily-influenzatherapeutic.json	2341	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	110	60	0	0	0	0	0	0
fsh-generated/resources/Encounter-encounter-example-ach-daily-initialpopulationpass-1.json	2577	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	86	63	0	0	0	0	0	0
fsh-generated/resources/Encounter-encounter-example-ach-daily-initialpopulationpass-2.json	2347	7	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	71	90	0	0	0	0	0	0
fsh-generated/resources/Encounter-encounter-example-ach-daily-negativepcr-1.json	2299	8	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	82	85	0	0	1	0	0	0
fsh-generated/resources/Encounter-encounter-example-ach-daily-negativepcr-2.json	2552	13	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	110	55	0	0	0	0	0	0
fsh-generated/resources/Encounter-encounter-example-ach-daily-rsvlabbtg.json	2255	20	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	94	84	0	0	0	0	0	0
fsh-generated/resources/Encounter-encounter-example-ach-monthly-pass1.json	2464	5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	90	89	0	0	0	0	0	0
fsh-generated/resources/Encounter-encounter-example-ach-monthly-pass2-emergency.json	2237	5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	123	70	0	0	0	0	0	0
fsh-generated/resources/Encounter-encounter-example-ach-monthly-pass2-inpatient.json	2929	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	55	0	0	0	0	0	0
fsh-generated/resources/Encounter-encounter-example-ach-monthly-pass3-acute.json	2036	6	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	34	89	0	0	0	0	0	0
fsh-generated/resources/Encounter-encounter-example-ach-monthly-pass3-short-stay.json	2282	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	111	95	0	0	0	0	0	0
fsh-generated/resources/Immunization-immunization-example-ach-daily-influenzatherapeutic.json	935	6	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	58	87	0	0	0	0	0	0
fsh-generated/resources/List-list-example-ach-daily-individual-measurereport-list.json	776	6	0	0	0	0	0	0	0	8	0	6	0	0	0	0	0	0	0	0	111	188	0	0	0	0	0	0
fsh-generated/resources/List-list-example-ach-daily-patients-of-interest.json	873	5	0	0	1	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	86	66	0	0	0	0	0	0
fsh-generated/resources/List-list-example-ach-monthly-individual-measurereport-list.json	664	6	0	0	0	0	0	0	0	23	0	4	0	0	0	0	0	0	0	0	175	70	0	0	0	0	0	0
fsh-generated/resources/List-list-example-ach-monthly-patients-of-interest.json	1015	7	0	0	1	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	85	65	0	0	0	0	0	0
fsh-generated/resources/Location-location-example-ach-daily-emergency.json	1013	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	76	33	0	0	0	0	0	0
fsh-generated/resources/Location-location-example-ach-daily-hospital.json	861	6	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	56	30	0	0	0	0	0	0
fsh-generated/resources/Location-location-example-ach-daily-inpatient.json	702	4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	60	34	0	0	0	0	0	0
fsh-generated/resources/Location-location-example-ach-monthly-crit-part.json	805	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	75	101	0	0	0	0	0	0
fsh-generated/resources/Location-location-example-ach-monthly-crit.json	685	8	0	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	98	38	0	0	0	0	0	0
fsh-generated/resources/Location-location-example-ach-monthly-emergency.json	720	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	33	0	0	0	0	0	0
fsh-generated/resources/Location-location-example-ach-monthly-inpatient.json	710	5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	78	33	0	0	0	0	0	0
fsh-generated/resources/Location-location-example-ach-monthly-medsurg.json	722	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	30	0	0	1	0	0	0
fsh-generated/resources/Location-location-example-ach-monthly-nicu-level-iii.json	876	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	77	29	0	0	0	0	0	0
fsh-generated/resources/MeasureReport-measurereport-example-ach-daily-influenzatherapeutic.json	5746	6	0	0	1	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	149	103	0	0	0	0	0	0
fsh-generated/resources/MeasureReport-measurereport-example-ach-daily-initialpopulationpass.json	8067	6	0	0	1	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	160	181	0	0	0	0	0	0
fsh-generated/resources/MeasureReport-measurereport-example-ach-daily-negativepcr.json	9472	7	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	152	169	0	0	0	0	0	0
fsh-generated/resources/MeasureReport-measurereport-example-ach-daily-rsvlabbtg.json	7816	7	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	209	117	0	0	0	0	0	0
fsh-generated/resources/MeasureReport-measurereport-example-ach-daily-subjectlist.json	2140	5	0	0	1	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	161	69	0	0	0	0	0	0
fsh-generated/resources/MeasureReport-measurereport-example-ach-monthly-subjectlist1.json	2015	3	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	160	47	0	0	0	0	0	0
fsh-generated/resources/MeasureReport-measurereport-example-individual-ach-monthly-pass1.json	11099	5	0	0	1	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	160	152	0	0	0	0	0	0
fsh-generated/resources/MeasureReport-measurereport-example-individual-ach-monthly-pass2.json	19789	8	0	0	1	0	0	0	2	19	0	0	0	0	0	0	0	0	0	0	209	248	0	0	0	0	0	0
fsh-generated/resources/MeasureReport-measurereport-example-individual-ach-monthly-pass3.json	12981	7	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	252	290	0	0	0	0	0	0
fsh-generated/resources/Medication-medication-example-ach-daily-influenzatherapeutic.json	1803	6	0	0	1	0	0	0	1	281	0	0	0	0	0	0	0	0	0	0	85	82	0	0	0	0	0	0
fsh-generated/resources/Medication-medication-example-ach-daily-initialpopulationpass.json	1830	4	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	81	65	0	0	0	0	0	0
fsh-generated/resources/Medication-medication-example-ach-daily-negativepcr.json	1758	5	0	0	1	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	39	39	0	0	0	0	0	0
fsh-generated/resources/Medication-medication-example-ach-daily-rsvlabbtg-1.json	1589	6	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	86	34	0	0	0	0	0	0
fsh-generated/resources/Medication-medication-example-ach-daily-rsvlabbtg-2.json	1152	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	72	36	0	0	0	0	0	0
fsh-generated/resources/Medication-medication-example-cipro-500.json	684	6	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	40	27	0	0	0	0	0	0
fsh-generated/resources/Medication-medication-example-dex4-tablet.json	478	4	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	68	56	0	0	0	0	0	0
fsh-generated/resources/Medication-medication-example-enoxaparin.json	522	5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	62	45	0	0	0	0	0	0
fsh-generated/resources/Medication-medication-example-heparin.json	801	4	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	65	44	0	0	0	0	0	0
fsh-generated/resources/Medication-medication-example-insulin-lispro.json	501	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	41	0	0	0	0	0	0
fsh-generated/resources/Medication-medication-example-metformin-1000.json	711	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	49	45	0	0	1	0	0	0
fsh-generated/resources/Medication-medication-example-metronidazole.json	646	5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	53	69	0	0	0	0	0	0
fsh-generated/resources/Medication-medication-example-vancomycin-15.json	684	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	29	50	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-medadmin-example-ach-daily-influenzatherapeutic.json	1464	5	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	57	79	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-medadmin-example-ach-daily-initialpopulationpass-1.json	1517	5	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	59	86	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-medadmin-example-ach-daily-initialpopulationpass-2.json	1517	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	98	69	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-medadmin-example-ach-daily-negativepcr.json	1450	6	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	97	42	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-medadmin-example-ach-daily-rsvlabbtg-1.json	1470	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	80	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-medadmin-example-ach-daily-rsvlabbtg-2.json	1416	5	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	117	58	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-medadmin-example-ach-monthly-pass1-vancomycin.json	1569	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	86	76	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-medadmin-example-ach-monthly-pass2-dex4.json	1568	5	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	74	79	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-medadmin-example-ach-monthly-pass2-heparin-1.json	1829	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	76	69	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-medadmin-example-ach-monthly-pass2-heparin-2.json	1829	5	0	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	57	80	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-medadmin-example-ach-monthly-pass2-insulin-lispro-1.json	1739	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	67	69	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-medadmin-example-ach-monthly-pass2-insulin-lispro-2.json	1736	5	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	97	67	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-medadmin-example-ach-monthly-pass2-insulin-lispro-3.json	1739	4	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	111	40	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-medadmin-example-ach-monthly-pass2-insulin-lispro-4.json	1736	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	43	37	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-medadmin-example-ach-monthly-pass3-enoxaparin.json	1861	3	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	74	85	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-medadmin-example-ach-monthly-pass3-metronidazole-1.json	1586	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	73	74	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-medadmin-example-ach-monthly-pass3-metronidazole-2.json	1586	4	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	89	73	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-medadmin-example-ach-monthly-pass3-metronidazole-3.json	1586	3	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	87	48	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-medicationrequest-example-ach-daily-influenzatherapeutic.json	2342	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	101	66	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-medicationrequest-example-ach-daily-initialpopulationpass.json	2399	19	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	69	62	0	0	1	0	0	0
fsh-generated/resources/MedicationRequest-medicationrequest-example-ach-daily-negativepcr.json	2350	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	34	49	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-medicationrequest-example-ach-daily-rsvlabbtg-1.json	2375	5	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	48	98	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-medicationrequest-example-ach-daily-rsvlabbtg-2.json	2226	8	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	43	106	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-medicationrequest-example-ach-monthly-pass1-vancomycin.json	2199	5	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	84	79	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-medicationrequest-example-ach-monthly-pass2-dex4-tablet.json	2210	8	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	68	73	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-medicationrequest-example-ach-monthly-pass2-heparin.json	2192	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	101	95	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-medicationrequest-example-ach-monthly-pass2-insulin-lispro.json	3290	4	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	1	0	0	80	72	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-medicationrequest-example-ach-monthly-pass2-metformin.json	2291	5	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	69	46	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-medicationrequest-example-ach-monthly-pass3-cipro.json	2260	4	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	75	61	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-medicationrequest-example-ach-monthly-pass3-enoxaparin.json	2518	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	114	104	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-medicationrequest-example-ach-monthly-pass3-metronidazole.json	2218	5	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	82	105	0	0	0	0	0	0
fsh-generated/resources/Observation-lab-observation-example-ach-daily-initialpopulationpass.json	1463	4	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	53	63	0	0	0	0	0	0
fsh-generated/resources/Observation-lab-observation-example-ach-daily-negativepcr-1.json	1477	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	57	87	0	0	0	0	0	0
fsh-generated/resources/Observation-lab-observation-example-ach-daily-negativepcr-2.json	1478	6	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	104	79	0	0	0	0	0	0
fsh-generated/resources/Observation-lab-observation-example-ach-daily-rsvlabbtg.json	1368	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	111	51	0	0	0	0	0	0
fsh-generated/resources/Observation-observation-example-ach-daily-initialpopulationpass-isolation.json	1108	10	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	67	59	0	0	0	0	0	0
fsh-generated/resources/Observation-observation-example-ach-monthly-pass1-blood.json	1518	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	80	81	0	0	0	0	0	0
fsh-generated/resources/Observation-observation-example-ach-monthly-pass1-csf.json	1477	7	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	89	90	0	0	0	0	0	0
fsh-generated/resources/Observation-observation-example-ach-monthly-pass1-gestational-age.json	1148	5	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	66	99	0	0	0	0	0	0
fsh-generated/resources/Observation-observation-example-ach-monthly-pass1-vitals-weight.json	1143	3	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	79	64	0	0	0	0	0	0
fsh-generated/resources/Observation-observation-example-ach-monthly-pass2-aptt.json	1359	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	51	56	0	0	0	0	0	0
fsh-generated/resources/Observation-observation-example-ach-monthly-pass2-hemo-a1c.json	1385	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	47	56	0	0	1	0	0	0
fsh-generated/resources/Observation-observation-example-ach-monthly-pass2-hemo.json	1404	3	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	86	62	0	0	0	0	0	0
fsh-generated/resources/Observation-observation-example-ach-monthly-pass2-poc-1.json	1302	5	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	85	62	0	0	0	0	0	0
fsh-generated/resources/Observation-observation-example-ach-monthly-pass2-poc-2.json	1303	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	79	45	0	0	0	0	0	0
fsh-generated/resources/Observation-observation-example-ach-monthly-pass2-vitals-weight.json	1155	5	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	86	53	0	0	0	0	0	0
fsh-generated/resources/Observation-observation-example-ach-monthly-pass3-cdiff.json	1457	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	63	61	0	0	0	0	0	0
fsh-generated/resources/Observation-observation-example-ach-monthly-pass3-vitals-height.json	1146	5	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	87	51	0	0	0	0	0	0
fsh-generated/resources/Observation-observation-example-ach-monthly-pass3-vitals-weight.json	1146	6	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	56	75	0	0	0	0	0	0
fsh-generated/resources/Organization-organization-example-submitting-organization.json	932	4	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	68	35	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-example-ach-daily-influenzatherapeutic.json	2837	6	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	164	33	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-example-ach-daily-initialpopulationpass.json	2209	5	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	76	33	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-example-ach-daily-negativepcr.json	2150	5	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	50	34	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-example-ach-daily-rsvlabbtg.json	2850	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	38	0	0	0	0	0	0
